customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,feedback_topic,churn_probability,origin,num_addons,status_venda,recommended_action,priority_score,churn_probability_display
6771-XWBDM,Female,0,Yes,No,57.0,Yes,Yes,Fibra ótica,No,Yes,Yes,No,Yes,Yes,Mensal,Yes,Cartão de crédito,104.5,5921.35,Alto Preço,0.9994852542877197,inference,4,CRÍTICO,"O cliente tem Fibra com risco de churn por preço alto, ofereça 15% de desconto por fidelidade de 1 ano.",156.67,99.9%
7124-UGSUR,Female,1,Yes,No,61.0,Yes,Yes,Fibra ótica,No,Yes,Yes,No,Yes,Yes,1 ano,Yes,Cartão de crédito,104.4,6405.0,Oferta do Concorrente,0.9996137022972107,inference,4,CRÍTICO,"O cliente tem Fibra com risco de churn por competitor_offer, ofereça 15% de desconto por fidelidade.",156.54,100.0%
4913-EHYUI,Male,1,Yes,Yes,56.0,Yes,Yes,Fibra ótica,Yes,No,Yes,No,Yes,Yes,1 ano,Yes,Débito automático,104.55,5794.65,Alto Preço,0.9980800151824951,inference,4,CRÍTICO,"O cliente tem Fibra com risco de preço alto, ofereça 15% de desconto por fidelidade.",156.52,99.8%
0895-DQHEW,Male,0,Yes,No,54.0,Yes,Yes,Fibra ótica,No,Yes,Yes,No,Yes,Yes,Mensal,Yes,Fatura digital,104.3,5278.15,Alto Preço,0.9995208978652954,inference,4,CRÍTICO,Cliente com alta probabilidade de churn devido ao preço. Ofereça 15% de desconto por fidelidade de 1 ano.,156.38,100.0%
0877-SDMBN,Female,0,No,No,54.0,Yes,Yes,Fibra ótica,Yes,No,Yes,No,Yes,Yes,1 ano,Yes,Débito automático,103.95,5639.05,Alto Preço,0.9981990456581116,inference,4,CRÍTICO,"Cliente com alta probabilidade de churn devido ao preço alto, ofereça 15% de desconto por fidelidade.",155.64,99.8%
1842-EZJMK,Male,0,Yes,Yes,50.0,Yes,Yes,Fibra ótica,No,Yes,No,Yes,Yes,Yes,Mensal,No,Fatura digital,103.7,5071.05,Alto Preço,0.9994895458221436,inference,4,CRÍTICO,"Cliente com alto risco de churn por preço alto, ofereça 15% de desconto por fidelidade de 1 ano.",155.47,99.9%
1343-EHPYB,Male,0,Yes,No,63.0,Yes,Yes,Fibra ótica,No,Yes,Yes,No,Yes,Yes,Mensal,Yes,Fatura digital,103.4,6603.0,Oportunidade de venda perdida,0.9998113512992859,inference,4,CRÍTICO,"O cliente tem Fiber Optic com risco de churn alto e lost_sales_opportunity, ofereça exatamente o que ele queria com desconto de 15% por fidelidade.",155.07,100.0%
7089-IVVAZ,Female,0,No,No,8.0,Yes,Yes,Fibra ótica,Yes,No,No,Yes,Yes,Yes,Mensal,Yes,Débito automático,103.35,847.3,Alto Preço,0.9991527795791626,inference,4,CRÍTICO,"O cliente tem Fibra com risco de churn por preço alto, ofereça 15% de desconto por fidelidade de 1 ano.",154.89,99.9%
5449-FIBXJ,Male,0,Yes,Yes,19.0,Yes,Yes,Fibra ótica,No,No,Yes,Yes,Yes,Yes,Mensal,No,Fatura digital,103.3,2012.7,Alto Preço,0.9995504021644592,inference,4,CRÍTICO,Cliente com alta probabilidade de churn devido ao preço. Ofereça 15% de desconto por fidelidade de 1 ano.,154.88,100.0%
5136-KCKGI,Female,0,Yes,Yes,33.0,Yes,Yes,Fibra ótica,Yes,No,Yes,No,Yes,Yes,1 ano,Yes,Fatura física,103.7,3467.0,Alto Preço,0.9956478476524353,inference,4,CRÍTICO,Cliente com alta probabilidade de churn devido ao preço. Ofereça 15% de desconto por fidelidade.,154.87,99.6%
4550-VBOFE,Male,1,Yes,No,70.0,Yes,Yes,Fibra ótica,No,Yes,Yes,No,Yes,Yes,Mensal,Yes,Fatura digital,102.95,7101.5,Alto Preço,0.9998238682746887,inference,4,CRÍTICO,Cliente com alta probabilidade de churn devido ao preço. Ofereça 15% de desconto por fidelidade de 1 ano.,154.4,100.0%
7181-BQYBV,Female,0,Yes,Yes,1.0,Yes,Yes,Fibra ótica,Yes,No,Yes,No,Yes,Yes,Mensal,Yes,Fatura digital,102.45,102.45,Alto Preço,0.9993021488189697,inference,4,CRÍTICO,Cliente com alto risco de churn por preço. Ofereça 15% de desconto por fidelidade de 1 ano.,153.57,99.9%
0402-CQAJN,Female,0,No,No,37.0,Yes,Yes,Fibra ótica,No,Yes,Yes,No,Yes,Yes,Mensal,Yes,Débito automático,101.9,3545.35,Oferta do Concorrente,0.9996683597564697,inference,4,CRÍTICO,"O cliente tem Fiber Optic com risco de churn por competitor_offer, ofereça 15% de desconto por fidelidade de 1 ano.",152.8,100.0%
5445-PZWGX,Male,0,No,No,62.0,Yes,Yes,Fibra ótica,Yes,Yes,No,Yes,No,Yes,1 ano,No,Fatura digital,102.0,6529.25,Oferta do Concorrente,0.9981676340103149,inference,4,CRÍTICO,"O cliente tem Fiber Optic com risco de churn alto devido a competitor_offer, ofereça 15% de desconto por fidelidade.",152.72,99.8%
0125-LZQXK,Male,0,No,No,15.0,Yes,No,Fibra ótica,No,No,Yes,Yes,Yes,Yes,Mensal,Yes,Fatura digital,101.35,1553.95,Alto Preço,0.9998630285263062,inference,4,CRÍTICO,"O cliente tem Fibra com risco de preço alto, ofereça 15% de desconto por fidelidade de 1 ano.",152.0,100.0%
7881-INRLC,Male,0,No,No,45.0,Yes,Yes,Fibra ótica,No,Yes,No,No,Yes,Yes,Mensal,Yes,Cartão de crédito,100.85,4740.0,Oferta do Concorrente,0.9994550347328186,inference,3,CRÍTICO,"O cliente tem Fiber Optic com risco de churn por competitor_offer, ofereça 15% de desconto por fidelidade de 1 ano.",151.19,99.9%
8510-AWCXC,Female,1,No,No,13.0,Yes,Yes,Fibra ótica,Yes,No,No,No,Yes,Yes,Mensal,Yes,Fatura digital,100.8,1308.1,Oferta do Concorrente,0.9991810917854309,inference,3,CRÍTICO,"O cliente tem Fiber Optic com risco de churn alto devido a oferta de concorrente, ofereça 15% de desconto por fidelidade de 1 ano.",151.08,99.9%
7641-EUYET,Male,1,Yes,Yes,46.0,Yes,Yes,Fibra ótica,Yes,Yes,Yes,No,Yes,No,Mensal,Yes,Fatura digital,100.7,4541.2,Alto Preço,0.9986255168914795,inference,4,CRÍTICO,"O cliente tem Fibra com risco de churn por preço alto, ofereça 15% de desconto por fidelidade de 1 ano.",150.84,99.9%
3190-XFANI,Male,0,No,Yes,49.0,Yes,Yes,Fibra ótica,No,No,No,Yes,Yes,Yes,1 ano,Yes,Débito automático,100.6,5069.65,Alto Preço,0.9994170665740967,inference,3,CRÍTICO,"O cliente tem Fibra com risco de churn por preço alto, ofereça 15% de desconto por fidelidade.",150.81,99.9%
0596-BQCEQ,Female,0,Yes,Yes,62.0,Yes,No,Fibra ótica,No,Yes,Yes,No,Yes,Yes,Mensal,Yes,Fatura digital,100.15,6283.3,Alto Preço,0.9997624754905701,inference,4,CRÍTICO,"O cliente tem Fibra com risco de preço alto, ofereça 15% de desconto por fidelidade.",150.19,100.0%
9647-ERGBE,Female,0,Yes,Yes,30.0,Yes,Yes,Fibra ótica,No,No,Yes,No,Yes,Yes,Mensal,Yes,Fatura digital,100.05,3046.15,Alto Preço,0.9998019337654114,inference,3,CRÍTICO,"O cliente tem Fibra com risco de churn por preço alto, ofereça 15% de desconto por fidelidade de 1 ano.",150.05,100.0%
8634-MPHTR,Male,1,Yes,No,47.0,Yes,Yes,Fibra ótica,No,No,Yes,No,Yes,Yes,Mensal,Yes,Fatura digital,100.05,4871.05,Alto Preço,0.9997898936271667,inference,3,CRÍTICO,"O cliente tem Fibra com risco de preço alto, ofereça 15% de desconto por fidelidade de 1 ano.",150.04,100.0%
9518-RWHZL,Female,0,No,No,64.0,Yes,Yes,Fibra ótica,No,No,Yes,No,Yes,Yes,1 ano,Yes,Cartão de crédito,100.05,6254.2,Alto Preço,0.9995384216308594,inference,3,CRÍTICO,"O cliente tem Fibra com risco de preço alto, ofereça 15% de desconto por fidelidade.",150.01,100.0%
5883-GTGVD,Male,0,No,No,19.0,Yes,Yes,Fibra ótica,No,Yes,No,No,Yes,Yes,Mensal,Yes,Fatura digital,99.95,1931.75,Alto Preço,0.9997984766960144,inference,3,CRÍTICO,"O cliente tem Fibra com risco de preço alto, ofereça 15% de desconto por fidelidade de 1 ano.",149.89,100.0%
6849-OYAMU,Male,0,Yes,Yes,19.0,Yes,No,Fibra ótica,No,Yes,No,Yes,Yes,Yes,1 ano,No,Débito automático,100.0,1888.65,Oportunidade de venda perdida,0.9992606043815613,inference,4,CRÍTICO,"O cliente tem Fiber Optic com risco de churn alto e lost_sales_opportunity, ofereça win-back com o que ele queria e desconto de 15% por fidelidade.",149.89,99.9%
1571-SAVHK,Male,0,No,No,12.0,Yes,Yes,Fibra ótica,No,No,No,Yes,Yes,Yes,Mensal,Yes,Fatura física,99.95,1132.75,Alto Preço,0.9990068078041077,inference,3,CRÍTICO,O cliente tem Fiber Optic com alto risco de churn por preço. Ofereça 15% de desconto por fidelidade de 1 ano.,149.78,99.9%
8784-CGILN,Female,0,No,No,18.0,Yes,Yes,Fibra ótica,No,No,No,Yes,Yes,Yes,Mensal,Yes,Débito automático,99.85,1776.95,Questões pessoais,0.9995158910751343,inference,3,CRÍTICO,O cliente tem Fibra com risco de churn por motivos pessoais. Ofereça 15% de desconto por fidelidade de 1 ano.,149.7,100.0%
0320-JDNQG,Male,0,Yes,Yes,23.0,Yes,No,Fibra ótica,Yes,No,No,Yes,Yes,Yes,Mensal,Yes,Fatura digital,99.85,2331.3,Questões pessoais,0.999329686164856,inference,4,CRÍTICO,"O cliente tem Fibra com risco de churn alto por motivos pessoais, ofereça 15% de desconto por fidelidade de 1 ano.",149.67,99.9%
0107-YHINA,Male,0,No,Yes,1.0,Yes,Yes,Fibra ótica,No,No,Yes,No,Yes,Yes,Mensal,Yes,Fatura digital,99.75,99.75,Alto Preço,0.9998574256896973,inference,3,CRÍTICO,Cliente com alta probabilidade de churn devido ao preço. Ofereça 15% de desconto por fidelidade de 1 ano.,149.6,100.0%
4803-AXVYP,Female,1,No,No,38.0,Yes,Yes,Fibra ótica,No,No,No,Yes,Yes,Yes,Mensal,Yes,Fatura digital,99.55,3782.9,Alto Preço,0.9997894167900085,inference,3,CRÍTICO,"O cliente tem Fibra com risco de preço alto, ofereça 15% de desconto por fidelidade de 1 ano.",149.29,100.0%
8818-XYFCQ,Male,0,Yes,Yes,32.0,Yes,Yes,Fibra ótica,Yes,No,No,No,Yes,Yes,Mensal,Yes,Cartão de crédito,99.55,3185.6,Oferta do Concorrente,0.9989479184150696,inference,3,CRÍTICO,"O cliente tem Fiber Optic com risco de churn alto devido a competitor_offer, ofereça 15% de desconto por fidelidade de 1 ano.",149.17,99.9%
8019-ENHXU,Male,0,Yes,No,42.0,Yes,Yes,Fibra ótica,No,Yes,Yes,Yes,No,Yes,Mensal,Yes,Fatura digital,99.45,4138.05,Oferta do Concorrente,0.9999289512634277,inference,4,CRÍTICO,"O cliente tem Fiber Optic com risco de churn por competitor_offer, ofereça 15% de desconto por fidelidade de 1 ano.",149.16,100.0%
4791-QRGMF,Male,0,Yes,No,59.0,Yes,Yes,Fibra ótica,No,No,Yes,No,Yes,Yes,1 ano,Yes,Débito automático,99.5,5961.1,Alto Preço,0.9988131523132324,inference,3,CRÍTICO,"O cliente tem Fibra com risco de churn por preço alto, ofereça 15% de desconto por fidelidade.",149.07,99.9%
9420-LOJKX,Female,0,No,No,15.0,Yes,No,Fibra ótica,Yes,Yes,No,No,Yes,Yes,Mensal,Yes,Cartão de crédito,99.1,1426.4,Alto Preço,0.9994801878929138,inference,4,CRÍTICO,"Cliente com alta probabilidade de churn devido ao preço alto, ofereça 15% de desconto por fidelidade de 1 ano.",148.57,99.9%
0310-MVLET,Female,0,Yes,Yes,61.0,Yes,Yes,Fibra ótica,No,Yes,No,No,Yes,Yes,Mensal,Yes,Fatura digital,99.15,6010.05,Alto Preço,0.9988351464271545,inference,3,CRÍTICO,"Cliente com alto risco de churn devido ao preço alto, ofereça 15% de desconto por fidelidade de 1 ano.",148.55,99.9%
5536-RTPWK,Male,0,Yes,No,49.0,Yes,Yes,Fibra ótica,No,Yes,No,No,Yes,Yes,Mensal,Yes,Débito automático,99.05,4853.75,Alto Preço,0.9992163181304932,inference,3,CRÍTICO,Cliente com alta probabilidade de churn devido ao preço. Ofereça 15% de desconto por fidelidade de 1 ano.,148.46,99.9%
6956-SMUCM,Female,0,No,No,3.0,Yes,No,Fibra ótica,Yes,No,Yes,No,Yes,Yes,Mensal,Yes,Cartão de crédito,99.0,287.4,Problema de conexão,0.9993528723716736,inference,4,CRÍTICO,"O cliente tem Fibra com risco de churn por internet_connection, ofereça visita técnica VIP ou troca de equipamento e desconto de 15% por fidelidade.",148.4,99.9%
4902-OHLSK,Female,1,No,No,29.0,Yes,Yes,Fibra ótica,No,No,No,Yes,Yes,Yes,Mensal,No,Fatura digital,98.65,2862.75,Alto Preço,0.9997747540473938,inference,3,CRÍTICO,"O cliente tem Fibra com risco de churn por preço alto, ofereça 15% de desconto por fidelidade de 1 ano.",147.94,100.0%
9172-ANCRX,Female,0,No,No,10.0,Yes,Yes,Fibra ótica,Yes,No,No,No,Yes,Yes,Mensal,Yes,Fatura digital,98.7,973.25,Oferta do Concorrente,0.9990804195404053,inference,3,CRÍTICO,"O cliente tem Fiber Optic com risco de churn alto devido a oferta de concorrente, ofereça 15% de desconto por fidelidade de 1 ano.",147.91,99.9%
5138-WVKYJ,Male,0,No,No,10.0,Yes,Yes,Fibra ótica,Yes,No,No,No,Yes,Yes,Mensal,No,Fatura digital,98.55,1008.55,Oferta do Concorrente,0.9980837106704712,inference,3,CRÍTICO,"O cliente tem Fiber Optic com risco de churn alto devido a oferta de concorrente, ofereça 15% de desconto por fidelidade de 1 ano.",147.54,99.8%
1323-OOEPC,Female,0,Yes,No,53.0,Yes,Yes,Fibra ótica,No,Yes,No,No,Yes,Yes,Mensal,Yes,Cartão de crédito,98.4,5149.5,Alto Preço,0.999077558517456,inference,3,CRÍTICO,"O cliente tem Fibra com risco de churn por preço alto, ofereça 15% de desconto por fidelidade de 1 ano.",147.46,99.9%
2446-BEGGB,Female,1,No,No,6.0,Yes,Yes,Fibra ótica,No,Yes,No,No,Yes,Yes,Mensal,Yes,Fatura digital,98.25,560.6,Alto Preço,0.9997766613960266,inference,3,CRÍTICO,Cliente com alta probabilidade de churn devido ao preço. Ofereça 15% de desconto por fidelidade de 1 ano.,147.34,100.0%
7295-JOMMD,Female,0,No,Yes,4.0,Yes,No,Fibra ótica,No,No,Yes,Yes,Yes,Yes,Mensal,Yes,Débito automático,98.1,396.3,Atendimento ao Cliente,0.999816358089447,inference,4,CRÍTICO,"O cliente tem Fibra com risco de churn por customer_service, ofereça desconto de 15% por fidelidade e visita técnica VIP.",147.12,100.0%
9809-IMGCQ,Male,1,No,No,22.0,Yes,Yes,Fibra ótica,No,No,No,No,Yes,Yes,Mensal,Yes,Fatura digital,96.7,2082.95,Oferta do Concorrente,0.9997984766960144,inference,2,CRÍTICO,"O cliente tem Fibra com risco de churn por competitor_offer, ofereça 15% de desconto por fidelidade de 1 ano.",145.02,100.0%
8844-TONUD,Male,0,Yes,Yes,13.0,Yes,No,Fibra ótica,No,No,Yes,No,Yes,Yes,Mensal,Yes,Fatura física,96.65,1162.85,Alto Preço,0.9990264177322388,inference,3,CRÍTICO,"Cliente com alta probabilidade de churn devido ao preço alto, ofereça 15% de desconto por fidelidade de 1 ano.",144.83,99.9%
1265-XTECC,Female,1,Yes,No,68.0,Yes,Yes,Fibra ótica,Yes,Yes,No,No,No,Yes,1 ano,Yes,Cartão de crédito,96.55,6581.9,Oferta do Concorrente,0.9976767897605896,inference,3,CRÍTICO,"O cliente tem Fiber Optic com risco de churn alto devido a oferta de concorrente, ofereça 15% de desconto por fidelidade.",144.49,99.8%
5655-JSMZM,Male,1,No,No,49.0,Yes,Yes,Fibra ótica,No,No,No,No,Yes,Yes,Mensal,Yes,Fatura digital,96.2,4718.25,Alto Preço,0.9996758699417114,inference,2,CRÍTICO,"O cliente tem Fibra com risco de churn por preço alto, ofereça 15% de desconto por fidelidade de 1 ano.",144.25,100.0%
0306-JAELE,Male,0,No,No,5.0,Yes,No,Fibra ótica,No,No,No,Yes,Yes,Yes,Mensal,Yes,Fatura digital,96.1,453.4,Alto Preço,0.9998762607574463,inference,3,CRÍTICO,"O cliente tem Fibra com risco de preço alto, ofereça 15% de desconto por fidelidade de 1 ano.",144.13,100.0%
2180-DXNEG,Female,0,No,No,12.0,Yes,No,Fibra ótica,No,No,Yes,No,Yes,Yes,Mensal,Yes,Fatura digital,96.0,1152.0,Oferta do Concorrente,0.9998568296432495,inference,3,CRÍTICO,"O cliente tem Fiber Optic com risco de churn por competitor_offer, ofereça 15% de desconto por fidelidade de 1 ano.",143.98,100.0%
9692-TUSXH,Female,0,No,No,18.0,Yes,No,Fibra ótica,Yes,No,No,No,Yes,Yes,Mensal,Yes,Fatura digital,96.05,1740.7,Alto Preço,0.9987610578536987,inference,3,CRÍTICO,Cliente com alta probabilidade de churn devido ao preço. Ofereça 15% de desconto por fidelidade de 1 ano.,143.9,99.9%
7480-QNVZJ,Male,1,No,No,50.0,Yes,Yes,Fibra ótica,No,No,No,No,Yes,Yes,Mensal,Yes,Fatura digital,95.7,4816.7,Alto Preço,0.9996758699417114,inference,2,CRÍTICO,Cliente com alta probabilidade de churn devido ao preço. Ofereça 15% de desconto por fidelidade de 1 ano.,143.5,100.0%
3585-ISXZP,Female,0,No,No,8.0,Yes,Yes,Fibra ótica,No,No,No,No,Yes,Yes,Mensal,No,Débito automático,95.65,778.1,Alto Preço,0.9997528195381165,inference,2,CRÍTICO,"O cliente tem Fibra com risco de preço alto, ofereça 15% de desconto por fidelidade de 1 ano.",143.44,100.0%
0637-YLETY,Female,0,No,No,16.0,Yes,Yes,Fibra ótica,No,Yes,Yes,No,No,Yes,Mensal,Yes,Cartão de crédito,95.6,1555.65,Oferta do Concorrente,0.9998669624328613,inference,3,CRÍTICO,"O cliente tem Fiber Optic com risco de churn por competitor_offer, ofereça 15% de desconto por fidelidade de 1 ano.",143.38,100.0%
8610-WFCJF,Female,0,Yes,Yes,49.0,Yes,Yes,Fibra ótica,No,No,No,No,Yes,Yes,Mensal,Yes,Fatura digital,95.6,4783.5,Alto Preço,0.999488115310669,inference,2,CRÍTICO,"O cliente tem Fibra com risco de churn por preço alto, ofereça 15% de desconto por fidelidade de 1 ano.",143.33,99.9%
4187-CINZD,Female,1,No,No,46.0,Yes,No,Fibra ótica,No,Yes,No,No,Yes,Yes,1 ano,No,Cartão de crédito,95.25,4424.2,Oferta do Concorrente,0.9991816878318787,inference,3,CRÍTICO,"O cliente tem Fiber Optic com risco de churn alto devido a competitor_offer, ofereça 15% de desconto por fidelidade.",142.76,99.9%
9944-HKVVB,Female,0,No,No,3.0,Yes,No,Fibra ótica,No,Yes,No,No,Yes,Yes,Mensal,Yes,Fatura digital,95.1,307.4,Problema de conexão,0.9998533725738525,inference,3,CRÍTICO,"""O cliente tem Fibra com risco de churn por internet_connection, ofereça visita técnica VIP e desconto de 15% por fidelidade.""",142.63,100.0%
3045-XETSH,Female,0,No,No,10.0,Yes,Yes,Fibra ótica,No,Yes,Yes,No,No,Yes,Mensal,Yes,Fatura digital,94.85,953.45,Oferta do Concorrente,0.9997145533561707,inference,3,CRÍTICO,"O cliente tem Fiber Optic com risco de churn por competitor_offer, ofereça 15% de desconto por fidelidade de 1 ano.",142.23,100.0%
5955-ERIHD,Male,0,Yes,No,18.0,Yes,Yes,Fibra ótica,No,No,No,No,Yes,Yes,Mensal,Yes,Fatura digital,94.7,1687.95,Oferta do Concorrente,0.9993188381195068,inference,2,CRÍTICO,"O cliente tem Fiber Optic com risco de churn por competitor_offer, ofereça 15% de desconto por fidelidade de 1 ano.",141.95,99.9%
4124-MMETB,Male,0,No,No,22.0,Yes,Yes,Fibra ótica,No,No,No,No,Yes,Yes,Mensal,Yes,Cartão de crédito,94.65,2104.55,Alto Preço,0.9995399713516235,inference,2,CRÍTICO,Cliente com alta probabilidade de churn devido ao preço. Ofereça 15% de desconto por fidelidade de 1 ano.,141.91,100.0%
4910-GMJOT,Female,0,No,No,1.0,Yes,Yes,Fibra ótica,No,No,No,No,Yes,Yes,Mensal,Yes,Fatura digital,94.6,94.6,Problema de conexão,0.9997766613960266,inference,2,CRÍTICO,"O cliente tem Fibra com risco de churn por internet_connection, ofereça visita técnica VIP ou troca de equipamento e desconto de 15% por fidelidade.",141.87,100.0%
2344-JMOGN,Male,0,Yes,No,9.0,Yes,No,Fibra ótica,No,Yes,Yes,Yes,Yes,No,Mensal,Yes,Fatura física,94.85,890.6,Questões pessoais,0.9969094395637512,inference,4,CRÍTICO,O cliente tem Fibra com risco de churn alto por motivos pessoais. Ofereça 15% de desconto por fidelidade de 1 ano.,141.84,99.7%
6502-HCJTI,Male,1,Yes,No,7.0,Yes,Yes,Fibra ótica,Yes,Yes,No,No,No,Yes,Mensal,Yes,Cartão de crédito,94.7,662.9,Alto Preço,0.9982976317405701,inference,3,CRÍTICO,Cliente com alta probabilidade de churn devido ao preço. Ofereça 15% de desconto por fidelidade de 1 ano.,141.81,99.8%
